rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2025-09-15T00:00:00Z,,5400047,AI,9,666752,5984529,Van Lear Creek,Unnamed,,MoTi,Closed Bottom Structure,Round Culvert,1.5,40,No,,No,No,,2.5,0,0,Yes,3,2.5,1,No,No,Deep Fill,Low,1.67,6,10,0,10,6,32,Barrier,Replace with New Open Bottom Structure,15,"This pipe, along with the adjacent overflow pipe, appeared to be located under what was likely the historic alignment of Colleymount Road. Approximately 3–4m downstream of the outlets, the road was armored with parking blocks that directed flow west into the oval culvert beneath the current road. The channel was dry at the time of assessment. MoTi chris_culvert_id: 2070181, 2090182",pscis_phase1.xlsm,1005400047,"MoTi chris_culvert_id: 2070181, 2090182",,AI,5400047
6,2025-10-05T00:00:00Z,,24403467,AI,10,570742,5925896,Tributary To Willow River,Willow FSR,,MoF,Closed Bottom Structure,Round Culvert,1.25,19,No,,No,No,,1,0.65,0.85,No,1.5,3.2,3.5,Yes,No,Deep Fill,Medium,2.56,3,10,10,5,6,34,Barrier,Replace with New Open Bottom Structure,15,"Nice habitat downstream with abundant gravels, shallow pools, and woody debris. EDNA collected downstream. Wetland upstream. Two pipes with only one actively passing water at the time of survey, both 1.25m in diameter. Beaver grate on the inlet of the pipe.",pscis_phase1.xlsm,1024403467,,,AI,24403467
7,2025-10-05T00:00:00Z,,24403486,AI,10,572013,5922265,Tributary To Willow River,Willow FSR,,MoF,Closed Bottom Structure,Round Culvert,1.1,12,No,,No,Yes,100,1,0,0.5,Yes,0.5,2,3.5,No,No,Deep Fill,Medium,1.82,0,10,0,0,6,16,Potential,Replace with New Open Bottom Structure,15,Small stream with good flow. Small gravels upstream and downstream. Culvert was backwatered 100% at the time of survey.,pscis_phase1.xlsm,1024403486,,,AI,24403486
8,2025-09-15T00:00:00Z,,5400321,AI,9,681754,5988177,Cordell’s Creek,Colleymount Creek,,MoTi,Closed Bottom Structure,Oval Culvert,2.2,21,Yes,0.06,Yes,No,,1,0,0.2,No,1,3.2,3.5,No,No,Deep Fill,High,1.45,3,5,0,5,6,19,Potential,Replace with New Open Bottom Structure,15,"Very nice stream with good flow and abundant, small gravel upstream and down. There is a boulder line approximately 3m downstream of the outlet that has removed the outlet drop but creates a ~40cm high cascade. Outlet of culvert is approximately 25m from François lake. MoTi chris_hwy_structure_road_id: 54, 3302517",pscis_phase1.xlsm,1005400321,"MoTi chris_hwy_structure_road_id: 54, 3302517",,AI,5400321
9,2025-09-24T00:00:00Z,,19703295,AI,10,526469,5985767,Tributary To Fraser River,Railway,,CN Rail,Closed Bottom Structure,Concrete Box,2.1,50,No,,No,No,,9.9,2.5,0.1,No,2.5,4,2.5,No,Yes,Deep Fill,Medium,1.9,6,10,10,5,6,37,Barrier,Replace with New Open Bottom Structure,35.5,Large concrete box structure with the outlet directly on the floodolain of the Fraser River. When the river is 2.5 - 3.5m higher the structure would backwater. Appears that the high watermark is near level with the outlet of the culvert.,pscis_phase1.xlsm,1019703295,,,AI,19703295
10,2025-09-15T00:00:00Z,,5405348,AI,9,642730,5985238,Tributary To Nadina River,Tahtsa FSR,,FLNR DND,Closed Bottom Structure,Round Culvert,1,11,No,,No,No,,1,0,0,Yes,4,1.5,3,No,No,Deep Fill,Low,1.5,0,10,0,10,6,26,Barrier,Replace Structure with Streambed Simulation CBS,3,Review of floodplain mapping indicates that this watershed actually drains to 1 km west through an open bottom structure. Adjacent land use is for cattle so this may be affecting drainage and habitat health upstream.,pscis_phase1.xlsm,1005405348,,,AI,5405348
11,2025-09-15T00:00:00Z,,5405311,AI,9,646168,5987669,Tributary To Nadina River,Tahtsa FSR,,Canfor R03011 174,Closed Bottom Structure,Round Culvert,0.9,15,No,,No,No,,1.5,1.1,0.4,No,0,2.3,3.5,No,No,Deep Fill,Medium,2.56,3,10,10,0,6,29,Barrier,Replace with New Open Bottom Structure,15,"Larger stream than expected, with substantial flow, a large outlet drop, and a significant outlet pool indicating the culvert is likely undersized for the crossing. Some gravels suitable for bull trout spawning were present.",pscis_phase1.xlsm,1005405311,,,AI,5405311
12,2025-09-15T00:00:00Z,,5405342,AI,9,641843,5984683,Tributary To Nadina River,Tahtsa FSR,,FLNR DND,Open Bottom Structure,Pipe Arch,16,2,No,,No,No,,,0,0,No,0,0,0,No,No,,,0,0,10,0,0,0,10,Passable,,,Numerous spawning sockeye immediately adjacent to culvert outlet and upstream. Channel dry at the time of assessment but appears as though this stream joins with and drains the watershed for the stream mapped as larger located to the east approximately 1km. Floodplain modelling shows this.,pscis_phase1.xlsm,1005405342,,,AI,5405342
13,2025-09-15T00:00:00Z,,5404085,AI,9,655728,5988666,Tributary To Nadina River,Morice Owen East FSR,,MoF,Open Bottom Structure,Bridge,17,5,No,,No,No,,,0,0,No,0,0,0,No,No,,,0,0,10,0,0,0,10,Passable,,,Bridge,pscis_phase1.xlsm,1005404085,Bridge,,AI,5404085
14,2025-09-15T00:00:00Z,,5404090,AI,9,660673,5987470,Tributary To Nadina River,Morice Owen East FSR,,Canfor R13343 11,Open Bottom Structure,Pipe Arch,30,4,No,,No,No,,,0,0,No,0,0,0,No,No,,,0,0,10,0,0,0,10,Passable,,,Pipe Arch,pscis_phase1.xlsm,1005404090,Pipe Arch,,AI,5404090
