species_code,Width,width_id,Count,total_spp,Percent
BT,0 - 2m,2,30,614,5
BT,02 - 04m,4,96,614,16
BT,04 - 06m,6,81,614,13
BT,06 - 10m,10,82,614,13
BT,10 - 15m,15,59,614,10
BT,15m+,99,248,614,40
BT,NA,NA,18,614,3
GR,02 - 04m,4,6,251,2
GR,06 - 10m,10,6,251,2
GR,10 - 15m,15,6,251,2
GR,15m+,99,231,251,92
GR,NA,NA,2,251,1
KO,0 - 2m,2,4,150,3
KO,02 - 04m,4,22,150,15
KO,04 - 06m,6,3,150,2
KO,06 - 10m,10,11,150,7
KO,10 - 15m,15,5,150,3
KO,15m+,99,31,150,21
KO,NA,NA,74,150,49
RB,0 - 2m,2,656,2619,25
RB,02 - 04m,4,520,2619,20
RB,04 - 06m,6,257,2619,10
RB,06 - 10m,10,222,2619,8
RB,10 - 15m,15,122,2619,5
RB,15m+,99,454,2619,17
RB,NA,NA,388,2619,15
